"id","main","description","icon"
"800","Clear","clear sky","02n"
"804","Clouds","overcast clouds","04n"
"800","Clear","clear sky","02n"
"804","Clouds","overcast clouds","04n"
"802","Clouds","scattered clouds","03n"
"800","Clear","clear sky","01n"
"800","Clear","clear sky","01n"
"800","Clear","clear sky","01n"
"802","Clouds","scattered clouds","03d"
"804","Clouds","overcast clouds","04n"
"800","Clear","clear sky","01n"
"800","Clear","clear sky","01n"
"800","Clear","clear sky","01n"
"800","Clear","clear sky","02n"
"803","Clouds","broken clouds","04n"
"800","Clear","clear sky","02n"
"800","Clear","clear sky","01n"
"800","Clear","clear sky","02n"
"800","Clear","clear sky","02n"
"800","Clear","clear sky","01n"
"800","Clear","clear sky","01n"
"803","Clouds","broken clouds","04n"
"800","Clear","clear sky","02n"
"804","Clouds","overcast clouds","04n"
"802","Clouds","scattered clouds","03d"
"800","Clear","clear sky","01n"
"800","Clear","clear sky","02n"
"802","Clouds","scattered clouds","03d"
